orderid,ordedate,cutomerid,store,productid,cost,salesproce,quantity,amountcost,amountsales,profit
A1000001,2020/03/25,A00003,A,219,400,550,5,2000,2750,750
A1000001,2020/03/25,A00003,A,229,46,86,1,46,86,40
A1000001,2020/03/25,A00003,A,359,90,150,1,90,150,60
A1000001,2020/03/25,A00003,A,383,40,65,1,40,65,25
A1000001,2020/03/25,A00003,A,390,100,170,1,100,170,70
A1000001,2020/03/25,A00003,A,407,95,165,1,95,165,70
A1000001,2020/03/25,A00003,A,444,100,170,1,100,170,70
A1000002,2020/05/14,A00005,A,219,400,550,5,2000,2750,750
A1000002,2020/05/14,A00005,A,229,46,86,1,46,86,40
A1000002,2020/05/14,A00005,A,359,90,150,1,90,150,60
A1000002,2020/05/14,A00005,A,383,40,65,1,40,65,25
A1000002,2020/05/14,A00005,A,390,100,170,1,100,170,70
A1000002,2020/05/14,A00005,A,407,95,165,2,190,330,140
A1000002,2020/05/14,A00005,A,444,100,170,1,100,170,70
A1000003,2020/02/11,A00009,A,219,400,550,4,1600,2200,600
A1000003,2020/02/11,A00009,A,229,46,86,1,46,86,40
A1000003,2020/02/11,A00009,A,350,130,300,1,130,300,170
A1000003,2020/02/11,A00009,A,359,90,150,1,90,150,60
A1000003,2020/02/11,A00009,A,383,40,65,1,40,65,25
A1000003,2020/02/11,A00009,A,390,100,170,1,100,170,70
A1000003,2020/02/11,A00009,A,407,95,165,1,95,165,70
A1000003,2020/02/11,A00009,A,444,100,170,1,100,170,70
A1000004,2020/06/13,A00011,A,219,400,550,1,400,550,150
A1000004,2020/06/13,A00011,A,229,46,86,1,46,86,40
A1000004,2020/06/13,A00011,A,350,130,300,1,130,300,170
A1000004,2020/06/13,A00011,A,359,90,150,1,90,150,60
A1000004,2020/06/13,A00011,A,383,40,65,6,240,390,150
A1000004,2020/06/13,A00011,A,390,100,170,1,100,170,70
A1000004,2020/06/13,A00011,A,407,95,165,1,95,165,70
A1000004,2020/06/13,A00011,A,444,100,170,5,500,850,350
A1000005,2020/05/26,A00016,A,219,400,550,1,400,550,150
A1000005,2020/05/26,A00016,A,229,46,86,1,46,86,40
A1000005,2020/05/26,A00016,A,359,90,150,1,90,150,60
A1000005,2020/05/26,A00016,A,383,40,65,1,40,65,25
A1000005,2020/05/26,A00016,A,390,100,170,4,400,680,280
A1000005,2020/05/26,A00016,A,407,95,165,1,95,165,70
A1000005,2020/05/26,A00016,A,444,100,170,1,100,170,70
A1000006,2020/01/04,A00017,A,219,400,550,1,400,550,150
A1000006,2020/01/04,A00017,A,229,46,86,2,92,172,80
A1000006,2020/01/04,A00017,A,359,90,150,2,180,300,120
A1000006,2020/01/04,A00017,A,383,40,65,1,40,65,25
A1000006,2020/01/04,A00017,A,390,100,170,1,100,170,70
A1000006,2020/01/04,A00017,A,407,95,165,1,95,165,70
A1000006,2020/01/04,A00017,A,444,100,170,1,100,170,70
A1000007,2020/04/03,A00018,A,219,400,550,1,400,550,150
A1000007,2020/04/03,A00018,A,229,46,86,1,46,86,40
A1000007,2020/04/03,A00018,A,350,130,300,1,130,300,170
A1000007,2020/04/03,A00018,A,359,90,150,1,90,150,60
A1000007,2020/04/03,A00018,A,383,40,65,1,40,65,25
A1000007,2020/04/03,A00018,A,390,100,170,1,100,170,70
A1000007,2020/04/03,A00018,A,407,95,165,1,95,165,70
A1000007,2020/04/03,A00018,A,444,100,170,1,100,170,70
A1000008,2020/06/15,A00019,A,219,400,550,2,800,1100,300
A1000008,2020/06/15,A00019,A,229,46,86,1,46,86,40
A1000008,2020/06/15,A00019,A,350,130,300,2,260,600,340
A1000008,2020/06/15,A00019,A,359,90,150,1,90,150,60
A1000008,2020/06/15,A00019,A,383,40,65,1,40,65,25
A1000008,2020/06/15,A00019,A,390,100,170,5,500,850,350
A1000008,2020/06/15,A00019,A,407,95,165,1,95,165,70
A1000008,2020/06/15,A00019,A,444,100,170,1,100,170,70
A1000009,2020/02/09,A00020,A,219,400,550,1,400,550,150
A1000009,2020/02/09,A00020,A,229,46,86,1,46,86,40
A1000009,2020/02/09,A00020,A,350,130,300,1,130,300,170
A1000009,2020/02/09,A00020,A,359,90,150,1,90,150,60
A1000009,2020/02/09,A00020,A,383,40,65,1,40,65,25
A1000009,2020/02/09,A00020,A,390,100,170,1,100,170,70
A1000009,2020/02/09,A00020,A,407,95,165,1,95,165,70
A1000009,2020/02/09,A00020,A,444,100,170,1,100,170,70
A1000010,2020/07/04,A00022,A,219,400,550,1,400,550,150
A1000010,2020/07/04,A00022,A,229,46,86,1,46,86,40
A1000010,2020/07/04,A00022,A,350,130,300,2,260,600,340
A1000010,2020/07/04,A00022,A,359,90,150,1,90,150,60
A1000010,2020/07/04,A00022,A,383,40,65,3,120,195,75
A1000010,2020/07/04,A00022,A,390,100,170,1,100,170,70
A1000010,2020/07/04,A00022,A,407,95,165,1,95,165,70
A1000010,2020/07/04,A00022,A,444,100,170,1,100,170,70
A1000011,2020/01/17,A00025,A,219,400,550,1,400,550,150
A1000011,2020/01/17,A00025,A,229,46,86,1,46,86,40
A1000011,2020/01/17,A00025,A,350,130,300,2,260,600,340
A1000011,2020/01/17,A00025,A,359,90,150,1,90,150,60
A1000011,2020/01/17,A00025,A,383,40,65,1,40,65,25
A1000011,2020/01/17,A00025,A,390,100,170,1,100,170,70
A1000011,2020/01/17,A00025,A,407,95,165,1,95,165,70
A1000011,2020/01/17,A00025,A,444,100,170,1,100,170,70
A1000012,2020/02/27,A00027,A,219,400,550,1,400,550,150
A1000012,2020/02/27,A00027,A,229,46,86,1,46,86,40
A1000012,2020/02/27,A00027,A,359,90,150,1,90,150,60
A1000012,2020/02/27,A00027,A,383,40,65,1,40,65,25
A1000012,2020/02/27,A00027,A,390,100,170,1,100,170,70
A1000012,2020/02/27,A00027,A,407,95,165,1,95,165,70
A1000012,2020/02/27,A00027,A,444,100,170,1,100,170,70
A1000013,2020/08/24,A00030,A,219,400,550,1,400,550,150
A1000013,2020/08/24,A00030,A,229,46,86,2,92,172,80
A1000013,2020/08/24,A00030,A,350,130,300,3,390,900,510
A1000013,2020/08/24,A00030,A,359,90,150,1,90,150,60
A1000013,2020/08/24,A00030,A,383,40,65,1,40,65,25
A1000013,2020/08/24,A00030,A,390,100,170,1,100,170,70
A1000013,2020/08/24,A00030,A,407,95,165,1,95,165,70
A1000013,2020/08/24,A00030,A,444,100,170,2,200,340,140
A1000014,2020/10/05,A00032,A,219,400,550,1,400,550,150
A1000014,2020/10/05,A00032,A,229,46,86,1,46,86,40
A1000014,2020/10/05,A00032,A,359,90,150,1,90,150,60
A1000014,2020/10/05,A00032,A,383,40,65,1,40,65,25
A1000014,2020/10/05,A00032,A,390,100,170,1,100,170,70
A1000014,2020/10/05,A00032,A,407,95,165,1,95,165,70
A1000014,2020/10/05,A00032,A,444,100,170,1,100,170,70
A1000015,2020/11/14,A00035,A,219,400,550,1,400,550,150
A1000015,2020/11/14,A00035,A,229,46,86,2,92,172,80
A1000015,2020/11/14,A00035,A,350,130,300,1,130,300,170
A1000015,2020/11/14,A00035,A,359,90,150,1,90,150,60
A1000015,2020/11/14,A00035,A,383,40,65,1,40,65,25
A1000015,2020/11/14,A00035,A,390,100,170,1,100,170,70
A1000015,2020/11/14,A00035,A,407,95,165,1,95,165,70
A1000015,2020/11/14,A00035,A,444,100,170,4,400,680,280
A1000016,2020/12/20,A00036,A,219,400,550,1,400,550,150
A1000016,2020/12/20,A00036,A,229,46,86,1,46,86,40
A1000016,2020/12/20,A00036,A,359,90,150,1,90,150,60
A1000016,2020/12/20,A00036,A,383,40,65,1,40,65,25
A1000016,2020/12/20,A00036,A,390,100,170,1,100,170,70
A1000016,2020/12/20,A00036,A,407,95,165,1,95,165,70
A1000016,2020/12/20,A00036,A,444,100,170,1,100,170,70
A1000017,2020/10/22,A00038,A,219,400,550,1,400,550,150
A1000017,2020/10/22,A00038,A,229,46,86,1,46,86,40
A1000017,2020/10/22,A00038,A,359,90,150,1,90,150,60
A1000017,2020/10/22,A00038,A,383,40,65,1,40,65,25
A1000017,2020/10/22,A00038,A,390,100,170,1,100,170,70
A1000017,2020/10/22,A00038,A,407,95,165,5,475,825,350
A1000017,2020/10/22,A00038,A,444,100,170,2,200,340,140
A1000018,2020/06/25,A00042,A,219,400,550,1,400,550,150
A1000018,2020/06/25,A00042,A,229,46,86,1,46,86,40
A1000018,2020/06/25,A00042,A,350,130,300,1,130,300,170
A1000018,2020/06/25,A00042,A,359,90,150,1,90,150,60
A1000018,2020/06/25,A00042,A,383,40,65,1,40,65,25
A1000018,2020/06/25,A00042,A,390,100,170,1,100,170,70
A1000018,2020/06/25,A00042,A,407,95,165,1,95,165,70
A1000018,2020/06/25,A00042,A,444,100,170,1,100,170,70
A1000019,2020/03/22,A00047,A,219,400,550,1,400,550,150
A1000019,2020/03/22,A00047,A,229,46,86,1,46,86,40
A1000019,2020/03/22,A00047,A,359,90,150,1,90,150,60
A1000019,2020/03/22,A00047,A,383,40,65,1,40,65,25
A1000019,2020/03/22,A00047,A,390,100,170,1,100,170,70
A1000019,2020/03/22,A00047,A,407,95,165,1,95,165,70
A1000019,2020/03/22,A00047,A,444,100,170,1,100,170,70
A1000020,2020/08/19,A00056,A,219,400,550,1,400,550,150
